Susan Cole,personal hair stylist: Luis Guzman (4 episodes 2022),none,none
Jean Carlos de Blas,key hair & makeup artist (4 episodes 2022),none,none
Gabriella Havens,makeup artist (3 episodes 2022),none,none
Sheherezada Kouchaki,makeup artist (4 episodes 2022),none,none
Raluca Moldoveanu,makeup artist (4 episodes 2022),none,none
Andrea Dardea Tesdall,special makeup effects artist (3 episodes 2022),none,none
Nicoleta Toader,hair stylist: cast (4 episodes 2022),none,none
Natalie Fox,additional hair & makeup artist (2 episodes 2022),none,none
Niki De Jong,prosthetic makeup artist (1 episode 2022),none,none
Ionel Popa,special makeup effects artist (1 episode 2022),none,none
Athina Sapanidis,prosthethic makeup artist (1 episode 2022),none,none
Razvan Badea,unit production manager / production manager (8 episodes 2022),none,none
Irene Iovan Calangiu,health & safety unit production manager: covid (8 episodes 2022),none,none
Alexandru Cseh,production manager: second unit (8 episodes 2022),none,none
Emma Mallett,unit production manager: additional photography (1 episode 2022),none,none
Alexandru Acsinte,assistant director (8 episodes 2022),none,none
Emilie Balusson,second second assistant director / co-second assistant director (8 episodes 2022),none,none
Bianca Bumbacea,assistant director (8 episodes 2022),none,none
Simona Dinu,second assistant director (8 episodes 2022),none,none
Mariana Grama,crowd second assistant director (8 episodes 2022),none,none
Mircea Hategan,first assistant director (8 episodes 2022),none,none
Stefania Ispas,trainee assistant director (8 episodes 2022),none,none
Loyzo,third assistant director (8 episodes 2022),none,none
Raphael Tudor,third assistant director (8 episodes 2022),none,none
Costin Sforaru,assistant director (7 episodes 2022),none,none
Sabina Balan,crowd first assistant director (6 episodes 2022),none,none
Brett Chan,second unit director (6 episodes 2022),none,none
Ada Dumitru,cast assistant (6 episodes 2022),none,none
Emyr Glyn Rees,second assistant director / first assistant director (6 episodes 2022),none,none
Jessica Kirec,second assistant director (4 episodes 2022),none,none
George Walker,first assistant director (4 episodes 2022),none,none
Richard O'Brien-Moran,first assistant director (2 episodes 2022),none,none
Mihaela Ionita,second assistant director (2 episodes 2022),none,none
Alexandra Popa,crowd second assistant director (1 episode 2022),none,none
Alexandru Trandafira,crowd assistant director (2 episodes 2022),none,none
Sucioaia Alexandra,set dressing painter (8 episodes 2022),none,none
Tache Alexandru,graphic designer (8 episodes 2022),none,none
Corneliu Mihai Bonciu,sculptor (8 episodes 2022),none,none
Rachel Garlick,storyboard artist (8 episodes 2022),none,none
Florin Gavrila,lead set dressing painter (8 episodes 2022),none,none
Adi Handac,property master (8 episodes 2022),none,none
Dana Ilie,art department manager (8 episodes 2022),none,none
Alexandru Titus Ipate,action vehicles supervisor (8 episodes 2022),none,none
Simona Maican,art department coordinator (8 episodes 2022),none,none
Cristian Mihaila,assistant set decorator / set decoration buyer (8 episodes 2022),none,none
Cosmin Miroiu,head of greenery (8 episodes 2022),none,none
Amalia Mititelu,set dressing painter (8 episodes 2022),none,none
Pietro Nume,concept artist (8 episodes 2022),none,none
Iulia Petrescu,assistant set decorator (8 episodes 2022),none,none
Madalina Ripanu,clearance coordinator (8 episodes 2022),none,none
Geaniloni Sandru,lead painter (8 episodes 2022),none,none
Eusebiu Sirbu,head graphic designer (8 episodes 2022),none,none
Cristina Stefan,graphic designer (8 episodes 2022),none,none
Alexandra Tudor,assistant art director (8 episodes 2022),none,none
Laurentiu Zarnoianu,leadman (8 episodes 2022),none,none
Liviu Antonescu,graphic designer (6 episodes 2022),none,none
Madalina Ciosu,set designer (6 episodes 2022),none,none
Tudor Iordachescu,set designer (6 episodes 2022),none,none
Anca Iscru,set designer (6 episodes 2022),none,none
Ana Neag,assistant art director (6 episodes 2022),none,none
Iulia Pasarica,assistant art director (6 episodes 2022),none,none
Andreea Siminea,set designer (6 episodes 2022),none,none
Amy Lockwood,assistant set decorator (4 episodes 2022),none,none
Andrew Cherry,storyboard artist (3 episodes 2022),none,none
Cristian Darstar,storyboard artist (3 episodes 2022),none,none
Adrian Curelea,supervising art director (2 episodes 2022),none,none
Serban Porupca,senior art director (2 episodes 2022),none,none
Radu Costache,assistant property master (1 episode 2022),none,none
Jennifer Keen,first set decoration buyer (1 episode 2022),none,none
Karen Krizanovich,production design researcher (1 episode 2022),none,none
Ben Livingstone,illustrator (1 episode 2022),none,none
Yohann Angelvy,french casting mixer (8 episodes 2022),none,none
Michael Baskerville,re-recording mixer (8 episodes 2022),none,none
Nicolae Comarzan,sound mixer: second unit (8 episodes 2022),none,none
Tony Diaz,adr mixer (8 episodes 2022),none,none
Arturo A. Fuenmayor,re-recording mix assistant / additional re-recording mixer (8 episodes 2022),none,none
Alastair Gray,dialogue editor (8 episodes 2022),none,none
Justin Helle,foley mixer (8 episodes 2022),none,none
John Loranger,supervising sound editor (8 episodes 2022),none,none
Liviu Lupsa,sound mixer (8 episodes 2022),none,none
Kristi McIntyre,adr editor / sound effects editor (8 episodes 2022),none,none
Sean Miller,adr recordist (8 episodes 2022),none,none
Faustine Pelipel,assistant sound editor (8 episodes 2022),none,none
Dan Sexton,sound effects editor (8 episodes 2022),none,none
Alex Stylianou,adr recordist (8 episodes 2022),none,none
Jamie Sulek,re-recording mixer (8 episodes 2022),none,none
Mike Tehrani,adr mixer (8 episodes 2022),none,none
Marcus Byrne,adr mixer (7 episodes 2022),none,none
Greg Crawford,adr mixer (7 episodes 2022),none,none
Juan Martin Del Campo,adr mixer (7 episodes 2022),none,none
Tim McKeever,adr mixer (7 episodes 2022),none,none
Simon Diggins,adr mixer (6 episodes 2022),none,none
Jonathan Gomez,adr mixer (4 episodes 2022),none,none
Nathan Jackson,foley editor (1 episode 2022),none,none
William Kellerman,foley artist (1 episode 2022),none,none
Leslie Liu,adr mixer (2 episodes 2022),none,none
Ana Quiroga,audio coordinator (uncredited) (8 episodes 2022),none,none
Dan Barcutean,special effects technician (8 episodes 2022),none,none
Max Costello,special effects technician (7 episodes 2022),none,none
Florin Stoian,special effects technician (8 episodes 2022),none,none
Harry Troughton,special effects coordinator (8 episodes 2022),none,none
Jason Troughton,special effects supervisor (8 episodes 2022),none,none
Adrian Nica,lead technician (4 episodes 2022),none,none
Ilinca Angelescu,special effects makeup (1 episode 2022),none,none
Yovko Dogandjiiski,special effects supervisor (2 episodes 2022),none,none
Antonia Tocheva,special effects office coordinator (2 episodes 2022),none,none
Matthew Adams,digital compositor: Ghost VFX Toronto (8 episodes 2022),none,none
Oana Bardan,visual effects coordinator (8 episodes 2022),none,none
Craig Calvert,visual effects supervisor: Mr. X (8 episodes 2022),none,none
Kevin Chandoo,head of studio: Ghost VFX Toronto (8 episodes 2022),none,none
Nick Colangelo,visual effects producer: Mr. X (8 episodes 2022),none,none
John Coldrick,visual effects supervisor: Rocket Science VFX (8 episodes 2022),none,none
Sam Cole,lighting lead: Mr. X (8 episodes 2022),none,none
Chris Cooper,cg supervisor: Mr. X (8 episodes 2022),none,none
Roger Dalupang,lead render wrangler/pipeline td (8 episodes 2022),none,none
Swedyl DSouza,visual effects production manager (8 episodes 2022),none,none
Maxime Ducharme,visual effects artist: MELS (2 episodes 2022),none,none
Paula Fanaia,digital compositor: Ghost VFX Toronto (8 episodes 2022),none,none
Mariah Fleetham,visual effects production assistant: Take 5 VFX (8 episodes 2022),none,none
Kathryn Foster,visual effects editor: Ghost VFX Toronto (8 episodes 2022),none,none
Ben Funk,lead compositor: Take 5 VFX (8 episodes 2022),none,none
Keith Goh,visual effects assistant editor: MPC (8 episodes 2022),none,none
Kari-Lyn Gravel,visual effects associate line producer: Stereo D (8 episodes 2022),none,none
Jon Howard,visual effects producer: Ghost VFX Toronto (6 episodes 2022),none,none
Kent Johnson,visual effects producer (8 episodes 2022),none,none
Anna Joukova,compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes 2022),none,none
Jesse Kawzenuk,on-set visual effects supervisor (8 episodes 2022),none,none
Grant Lee,visual effects supervisor: Stereo D (8 episodes 2022),none,none
Jake Lunt Davies,concept design (8 episodes 2022),none,none
Dumitrana Teodora Lupu,visual effects production assistant (8 episodes 2022),none,none
Amy Madigan,visual effects production manager: Stereo D (8 episodes 2022),none,none
Yael Majors,visual effects assistant supervisor: Stereo D (3 episodes 2022),none,none
Mariano Mendoza,assets lead: Mr. X (8 episodes 2022),none,none
Guillermo Molina,lead tools developer (8 episodes 2022),none,none
Skye Morandin,visual effects production manager: Stereo D (8 episodes 2022),none,none
